Erfolgreichste Anzeigen und Beiträge;;;;;;;;
;;;;;;;;
;;;;;;;;
Content;;;;;;;;
Titel des Beitrags;Zeitpunkt der Veröffentlichung;Reichweite; Gefällt mir -Angaben und Reaktionen;Kommentare;Geteilte Inhalte;Ergebnisse;Kosten pro Ergebnis;Link-Klicks
"RAUM27 kommt aufs Elbenwald Festival! d' Das Duo macht Deutsch-Rock und -Pop. Sagen sie selbst. Fügen aber dazu, dass man sich auf kein Genre festlegen will. Weil jedes Lied für sich steht. Zum Nachdenken anregen soll. Am besten weit weg vom klassischen Radio-Entertainment. 

Hey: Was ist das letzte Album, das ihr gehört habt? Und wie hat's euch gefallen?

Mehr Infos über RAUM27 (und ihre ziemlich geile Aktion bei einem Faber-Konzert) findet ihr in unserem Line-Up unterwww.elbenwald.de/Festival/ =Ø%Ý

#elbenwaldfestival #ewf2021 #raum27";2021-05-31T10:30:35;33053;912;9;;;;
"Einmal wie Son Goku sein, nur ohne das ganze harte Training? Geht nicht. Aber sich einmal die Goku-Grundausstattung gönnen, das geht immer! =Ø	Þ

Wer ist euer liebster Dragonball-Charakter?

#dragonball #dragonballz #songoku";2021-05-31T06:31:04;36271;1727;14;;;;
"Wir hoffen, ihr hattet ein tolles Wochenende >ØÝ

Zum Elbenwald Shoutout Sunday zeigen wir euch wieder ein paar Fotos aus der Community.=Ø@Ü

Lieben Dank an die Fotograf*innen! =ØøÜd'þ

#elbenwald #shoutoutsunday";2021-05-30T10:56:59;84666;5708;12;;;;
"In Case of zu viele Fragezeichen im Kopf: Nehmt euch einen (oder 42) Keks(e)! <Øjß=ØÞ

Was ist eigentlich euer liebstes Game aus dem Super Mario Franchise? 

#supermario #questionmarkblock #gaming #nintendo #supermariogames #supermariomerch";2021-05-30T07:04:48;101441;7563;38;;;;
"Steht ihr auch so auf Cosplays wie wir? Rhetorische Frage   natürlich tut ihr das! Schließlich sind Cosplays auch für Nicht-Cosplayer super. Weil sie eben super aussehen! d'

Und jetzt, wo wir wissen, dass ihr auch auf Cosplays steht, können wir ja rausposaunen, dass wir dieses Jahr erstmals einen großen Cosplay-Wettbewerb auf dem @elbenwald_festival ausrichten! Mit einem MEGA Preis und einer noch, äh &  MEGAREREN Jury! =ØÞ

Wen würdet ihr gern mal cosplayen? 

Alle Infos zum Contest findet ihr unter dem Link in unserer Bio! =Ø
Þ

#elbenwald #elbenwaldfestival #ewf2021 #cosplay #cosplaywettbewerb";2021-05-30T04:58:27;83560;3274;78;;;;
"Fahrkarten, Zauberstab und genug Socken sind eingepackt. Fehlt nur noch... ja! Ein Reisebegleiter mit tollen Extras und Zusatzinfos für die fantastische Reise nach Hogwarts. =Ø	Þ

Habt ihr einen Gegenstand, der euch auf jeder Reise begleitet? 

#harrypotter #hogwarts #einemagischereise #dasistjawiezauberei #harrypotterbücher";2021-05-29T07:40:02;121842;7248;69;;;;
"Das Wetter wird besser, die Inzidenzen sinken, immer mehr Leute werden geimpft. Sogar erste Veranstaltungen sind wieder möglich! Ja, wir freuen uns auf den Sommer   und das @elbenwald_festival! &þd'þ

Worauf freut ihr euch aktuell am meisten?

(=ØøÜ: Sandra Kock, Thor Täuber, Jonas Ziebell) 
#elbenwald #elbenwaldfestival #ewf2021";2021-05-29T04:51:21;88748;6581;54;;;;
"Was wäre Batman ohne seine Gadgets? Die Grappling Gun, das Anti-Haifisch-Spray, seine Bat-Skates, der Kryptonit-Ring oder   natürlich   der Batarang! >Ø‡Ý

Was ist eurer Meinung nach das beste Batman-Gadget?

#batman #batarang";2021-05-28T09:02:36;106961;6724;48;;;;
"Es geht voran! Mittlerweile sind 19 unserer Elbenwald Stores wieder für euch geöffnet. d'Da dachten wir, eine kleine Übersicht der aktuell erreichbaren Stores würde nicht schaden. =Ø	Þ

*Update*
In Deutschland sind geöffnet:
Aachen
Augsburg
Berlin
Bielefeld
Braunschweig
Bremen
Cottbus
Dortmund
Dresden
Erfurt
Essen
Hamburg
Hannover
Karlsruhe
Kiel
Köln
Leipzig
Magdeburg
Mannheim
München
Münster
Stuttgart

In Österreich sind geöffnet:
Graz
Innsbruck
Klagenfurt
Linz
Wien (Donau Zentrum & Shopping City Süd)

Maske, Abstand und Hygiene verstehen sich weiterhin von selbst =Ø7Þ, ob ein negativer Corona-Test nötig ist, kommt auf die einzelnen Städte an. Wir haben die Infos auch bei den einzelnen Stores hinterlegt, das Ganze findet ihr unter www.elbenwald.de/Stores =ØBÞ

#elbenwald #elbenwaldstore";2021-05-28T04:01:40;103222;10609;197;;;;
"Selbst wenn ihr Kartenspiele nicht besonders mögt, eines könnt ihr nicht bestreiten: Diese hier haben echt Stil! =ØÞ

#harrypotter #spielkarten #harrypotterkarten #gryffindor #hufflepuff #ravenclaw #slytherin #hogwartshouses";2021-05-27T09:33:26;101688;6957;70;;;;
